time,lat,lon,elevation,accuracy,bearing,speed,satellites,provider,hdop,vdop,pdop,geoidheight,ageofdgpsdata,dgpsid,activity,battery,annotation
2020-06-30T06:46:02.000Z,21.77066845,72.1526111,-32.529815673828125,3.216,197.7,1.16,19,gps,,,,,,,,26,
2020-06-30T06:46:03.000Z,21.77065616,72.15260551,-32.280426025390625,3.216,189.8,1.17,18,gps,,,,,,,,26,
2020-06-30T06:46:04.000Z,21.77064366,72.15260069,-31.829833984375,3.216,192.9,1.17,19,gps,,,,,,,,26,
2020-06-30T06:46:05.000Z,21.77063151,72.1525958,-31.25091552734375,3.216,193.5,1.17,18,gps,,,,,,,,26,
2020-06-30T06:46:06.000Z,21.77061918,72.15259272,-31.230010986328125,3.216,186.5,1.16,18,gps,,,,,,,,26,
2020-06-30T06:46:07.000Z,21.77060743,72.15258916,-31.439910888671875,3.216,189.4,1.16,18,gps,,,,,,,,26,
2020-06-30T06:46:08.000Z,21.77059548,72.1525829,-31.33837890625,3.216,210.1,1.18,18,gps,,,,,,,,26,
2020-06-30T06:46:09.000Z,21.7705856,72.15257651,-31.5126953125,3.216,211.2,1.17,18,gps,,,,,,,,26,
2020-06-30T06:46:10.000Z,21.77057483,72.15257032,-31.199615478515625,3.216,205.6,1.18,16,gps,,,,,,,,26,
2020-06-30T06:46:11.000Z,21.77056258,72.15256535,-31.406097412109375,3.216,182.8,1.2,17,gps,,,,,,,,26,
2020-06-30T06:46:05.888Z,21.770424,72.1524792,-33.60000228881836,24.667,,,0,network,,,,,,,,26,
2020-06-30T06:46:12.000Z,21.77055016,72.1525617,-31.28143310546875,3.216,191.1,1.22,17,gps,,,,,,,,26,
2020-06-30T06:46:13.000Z,21.77053788,72.15255559,-31.431640625,3.216,200.6,1.22,17,gps,,,,,,,,26,
2020-06-30T06:46:14.000Z,21.77052806,72.15254694,-30.7628173828125,3.216,214.4,1.21,17,gps,,,,,,,,26,
2020-06-30T06:46:15.000Z,21.7705194,72.15253588,-30.615692138671875,3.216,229.8,1.21,18,gps,,,,,,,,26,
2020-06-30T06:46:16.000Z,21.77051032,72.15252457,-30.315216064453125,3.216,227.2,1.21,18,gps,,,,,,,,26,
2020-06-30T06:46:17.000Z,21.77049935,72.15251684,-29.8917236328125,3.216,217.5,1.2,18,gps,,,,,,,,26,
2020-06-30T06:46:18.000Z,21.77048663,72.15251107,-29.521331787109375,3.216,202.3,1.2,19,gps,,,,,,,,26,
2020-06-30T06:46:19.000Z,21.77047263,72.1525097,-30.0887451171875,9.648001,186.8,1.2,19,gps,,,,,,,,26,
2020-06-30T06:46:20.000Z,21.77045845,72.15250827,-30.2003173828125,9.648001,190.2,1.18,19,gps,,,,,,,,26,
2020-06-30T06:46:05.889Z,21.770424,72.1524792,-33.60000228881836,24.667,,,0,network,,,,,,,,26,
2020-06-30T06:46:21.000Z,21.77044822,72.15250536,-31.220916748046875,9.648001,195.5,0.67,19,gps,,,,,,,,26,
2020-06-30T06:46:22.000Z,21.77044444,72.15250338,-31.538543701171875,9.648001,216.8,0.26,19,gps,,,,,,,,26,
2020-06-30T06:46:23.000Z,21.77045273,72.15250122,-31.74481201171875,9.648001,329.6,1.18,17,gps,,,,,,,,26,
2020-06-30T06:46:16.384Z,21.7704012,72.1524462,-33.30000305175781,20.667,,,0,network,,,,,,,,26,
2020-06-30T06:46:24.000Z,21.77046904,72.15250074,-31.7291259765625,9.648001,3.0,1.2,18,gps,,,,,,,,26,
2020-06-30T06:46:25.000Z,21.77048552,72.15250372,-31.262542724609375,9.648001,4.8,1.21,20,gps,,,,,,,,26,
2020-06-30T06:46:26.000Z,21.77050154,72.15250758,-30.687744140625,9.648001,5.6,1.23,20,gps,,,,,,,,26,
2020-06-30T06:46:27.000Z,21.77051726,72.1525094,-31.222198486328125,9.648001,358.4,1.25,20,gps,,,,,,,,26,
2020-06-30T06:46:28.000Z,21.77053344,72.15251225,-31.597259521484375,9.648001,3.7,1.39,20,gps,,,,,,,,26,
2020-06-30T06:46:29.000Z,21.77055109,72.15251561,-31.1424560546875,9.648001,8.3,1.38,21,gps,,,,,,,,26,
2020-06-30T06:46:30.000Z,21.77056761,72.15252041,-30.661285400390625,9.648001,17.5,1.37,22,gps,,,,,,,,26,
2020-06-30T06:46:31.000Z,21.77058199,72.1525278,-30.12469482421875,9.648001,22.4,1.36,23,gps,,,,,,,,26,
2020-06-30T06:46:32.000Z,21.77059592,72.15253601,-29.947845458984375,9.648001,26.2,1.37,22,gps,,,,,,,,26,
2020-06-30T06:46:33.000Z,21.77060977,72.15254273,-29.644866943359375,9.648001,23.8,1.38,22,gps,,,,,,,,26,
2020-06-30T06:46:34.000Z,21.77062473,72.15254818,-30.44305419921875,9.648001,19.7,1.41,23,gps,,,,,,,,26,
2020-06-30T06:46:35.000Z,21.77063841,72.15255543,-30.368927001953125,9.648001,41.3,1.4,23,gps,,,,,,,,26,
2020-06-30T06:46:36.000Z,21.77065092,72.15256618,-30.5877685546875,9.648001,54.3,1.41,22,gps,,,,,,,,26,
2020-06-30T06:46:37.000Z,21.77066197,72.15257896,-30.874267578125,9.648001,42.6,1.42,22,gps,,,,,,,,26,
